Code,Plan Partners Initial Description,Updated Description
04_198_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Sundays, with a ratio of one support worker per three participants.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_198_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Sundays, with a ratio of one support worker per three participants. This line item code can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_199_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a Public Holiday, with a ratio of one support worker per three participants.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_199_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a Public Holiday, with a ratio of one support worker per three participants. This line item code can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_200_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per four participants.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_200_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per four participants. This line item code can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_201_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 8:00pm-12:00am, with a ratio of one support worker per four participants.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_201_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 8:00pm-12:00am, with a ratio of one support worker per four participants. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_202_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Saturdays, with a ratio of one support worker per four participants.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_202_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Saturdays, with a ratio of one support worker per four participants. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_203_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Sundays, with a ratio of one support worker per four participants.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_203_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Sundays, with a ratio of one support worker per four participants. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_204_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a Public Holiday, with a ratio of one support worker per four participants.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_204_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a Public Holiday, with a ratio of one support worker per four participants. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_205_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per five participants.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_205_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per five participants. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_206_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 8:00pm-12:00am, with a ratio of one support worker per five participants.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_206_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 8:00pm-12:00am, with a ratio of one support worker per five participants. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_207_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Saturdays, with a ratio of one support worker per five participants.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_207_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Saturdays, with a ratio of one support worker per five participants. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_208_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Sundays, with a ratio of one support worker per five participants.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_208_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Sundays, with a ratio of one support worker per five participants. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_209_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a Public Holiday, with a ratio of one support worker per five participants.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_209_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a centre based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a Public Holiday, with a ratio of one support worker per five participants. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting in a centre, in circumstances where a more skilled or experienced support worker is required."
04_210_0125_6_1,"This support code covers the costs of community engagement, social and recreational activities.  Participants may use this funding for activities such as camps, vacation and outside school hours' care, course or membership fees.","This support item is designed to enable providers to claim reimbursement for the costs of enabling a participant to independently engage in community, social and recreational activities when costs of participation exceed an affordable level and without, the participant would be at risk of social isolation. Participants may use this funding for activities such as camps, vacation and outside school hours’ care, course or membership fees."
04_400_0104_1_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on a weekday between the hours 6:00am-8:00pm. This line item would be claimed when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. Level 2 Worker Support items should be used if the worker who delivers the support is someone who has the skills and experience that would mean that they would be classified as a Social and Community Service Employee level 2 (at the maximum pay points) or as a Social and Community Service Employee level 3 (at the minimum pay point) if they were employed under the SCHADS Award.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in circumstances where a more skilled or experienced support worker is required. They can be delivered to individual participants subject to the rules set out in this Price Guide"
04_400_0104_1_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on a weekday between the hours 6:00am-8:00pm. This line item would be claimed when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. Level 2 Worker Support items should be used if the worker who delivers the support is someone who has the skills and experience that would mean that they would be classified as a Social and Community Service Employee level 2 (at the maximum pay points) or as a Social and Community Service Employee level 3 (at the minimum pay point) if they were employed under the SCHADS Award. This line item code can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in circumstances where a more skilled or experienced support worker is required. They can be delivered to individual participants subject to the rules set out in this Price Guide"
04_401_0104_1_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed between the hours 8:00pm-12:00am. This line item would be claimed when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. Level 2 Worker Support items should be used if the worker who delivers the support is someone who has the skills and experience that would mean that they would be classified as a Social and Community Service Employee level 2 (at the maximum pay points) or as a Social and Community Service Employee level 3 (at the minimum pay point) if they were employed under the SCHADS Award.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in circumstances where a more skilled or experienced support worker is required. They can be delivered to individual participants subject to the rules set out in this Price Guide"
04_401_0104_1_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed between the hours 8:00pm-12:00am. This line item would be claimed when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. Level 2 Worker Support items should be used if the worker who delivers the support is someone who has the skills and experience that would mean that they would be classified as a Social and Community Service Employee level 2 (at the maximum pay points) or as a Social and Community Service Employee level 3 (at the minimum pay point) if they were employed under the SCHADS Award. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in circumstances where a more skilled or experienced support worker is required. They can be delivered to individual participants subject to the rules set out in this Price Guide"
04_402_0104_1_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on Saturdays, when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. Level 2 Worker Support items should be used if the worker who delivers the support is someone who has the skills and experience that would mean that they would be classified as a Social and Community Service Employee level 2 (at the maximum pay points) or as a Social and Community Service Employee level 3 (at the minimum pay point) if they were employed under the SCHADS Award.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in circumstances where a more skilled or experienced support worker is required. They can be delivered to individual participants subject to the rules set out in this Price Guide"
04_402_0104_1_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on Saturdays, when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. Level 2 Worker Support items should be used if the worker who delivers the support is someone who has the skills and experience that would mean that they would be classified as a Social and Community Service Employee level 2 (at the maximum pay points) or as a Social and Community Service Employee level 3 (at the minimum pay point) if they were employed under the SCHADS Award. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in circumstances where a more skilled or experienced support worker is required. They can be delivered to individual participants subject to the rules set out in this Price Guide"
04_403_0104_1_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on Sundays, when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. Level 2 Worker Support items should be used if the worker who delivers the support is someone who has the skills and experience that would mean that they would be classified as a Social and Community Service Employee level 2 (at the maximum pay points) or as a Social and Community Service Employee level 3 (at the minimum pay point) if they were employed under the SCHADS Award.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in circumstances where a more skilled or experienced support worker is required. They can be delivered to individual participants subject to the rules set out in this Price Guide"
04_403_0104_1_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on Sundays, when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. Level 2 Worker Support items should be used if the worker who delivers the support is someone who has the skills and experience that would mean that they would be classified as a Social and Community Service Employee level 2 (at the maximum pay points) or as a Social and Community Service Employee level 3 (at the minimum pay point) if they were employed under the SCHADS Award. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in circumstances where a more skilled or experienced support worker is required. They can be delivered to individual participants subject to the rules set out in this Price Guide"
04_404_0104_1_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on Public Holidays, when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. Level 2 Worker Support items should be used if the worker who delivers the support is someone who has the skills and experience that would mean that they would be classified as a Social and Community Service Employee level 2 (at the maximum pay points) or as a Social and Community Service Employee level 3 (at the minimum pay point) if they were employed under the SCHADS Award.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in circumstances where a more skilled or experienced support worker is required. They can be delivered to individual participants subject to the rules set out in this Price Guide"
04_404_0104_1_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on Public Holidays, when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. Level 2 Worker Support items should be used if the worker who delivers the support is someone who has the skills and experience that would mean that they would be classified as a Social and Community Service Employee level 2 (at the maximum pay points) or as a Social and Community Service Employee level 3 (at the minimum pay point) if they were employed under the SCHADS Award. This line item can only be claimed by a TTP registered provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in circumstances where a more skilled or experienced support worker is required. They can be delivered to individual participants subject to the rules set out in this Price Guide"
04_600_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement when High Intensity Supports are required. This line item would be claimed between the hours 6:00am-8:00pm Monday to Friday.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered Monday to Friday between 6am and 8pm"
04_600_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement when High Intensity Supports are required. This line item would be claimed between the hours 6:00am-8:00pm Monday to Friday by an approved TTP provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered Monday to Friday between 6am and 8pm by an approved TTP provider."
04_601_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement when High Intensity Supports are required. This line item would be claimed between the hours 8.00pm - 12.00am Monday to Friday.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered Monday to Friday between 8pm and 12am."
04_601_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement when High Intensity Supports are required. This line item would be claimed between the hours 8:00pm - 12:00am Monday to Friday by an approved TTP provider .","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered Monday to Friday between the hours of 8pm and 12am by an approved TTP provider."
04_602_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement when High Intensity Supports are required. This line item would be claimed on a Saturday.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered on a Saturday."
04_602_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement when High Intensity Supports are required. This line item would be claimed on a Saturday by an approved TTP povider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered on a Saturday by an approved TTP provider."
04_603_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement when High Intensity Supports are required. This line item would be claimed on a Sunday.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered on a Sunday."
04_603_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement when High Intensity Supports are required. This line item would be claimed on a sunday by an approved TTP provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered on a Sunday by an approved TTP provider."
04_604_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement when High Intensity Supports are required. This line item would be claimed on a Public Holiday.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered on a Public Holiday."
04_604_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement when High Intensity Supports are required. This line item would be claimed on a Public Holiday by an approved TTP provider.","These support items enable a participant who requires High Intensity Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered on a Public Holiday by an approved TTP provider."
05_040312115_0103_1_2,"This support code is typically built into the NDIS plan as a stated item. Otherwise, a report generated by an Allied Health Professional would be required to utilise this line item code.","Includes ventilators, cough assist and related AT"
05_060000115_0135_1_2,"This support code is typically built into the NDIS plan as a stated item. Otherwise, a report generated by an Allied Health Professional would be required to utilise this line item code.","Includes componentry, terminal devices and adaptors, including for trial purposes"
05_121227125_0108_1_2,"This support code is typically built into the NDIS plan as a stated item. Otherwise, a report generated by an Allied Health Professional would be required to utilise this line item code.",Covers passenger vehicle (less than 10 passengers) modified to enable access/control by people with physical and related disabilities
05_150000115_0123_1_2,"This support code is typically built into the NDIS plan as a stated item. Otherwise, a report generated by an Allied Health Professional would be required to utilise this line item code.",Includes environment control systems
05_220300115_0113_1_2,"This support code is typically built into the NDIS plan as a stated item. Otherwise, a report generated by an Allied Health Professional would be required to utilise this line item code.",Includes braille or audio systems for vision impairment
05_220600112_0122_1_2,"This support code is typically built into the NDIS plan as a stated item. Otherwise, a report generated by an Allied Health Professional would be required to utilise this line item code.",includes hearing aid technology and systems or accessories for hearing support
05_220615111_0122_1_2,"This support code is typically built into the NDIS plan as a stated item. Otherwise, a report generated by an Allied Health Professional would be required to utilise this line item code.","An electronic instrument that provides amplification to individuals with a hearing loss (OSPL90 >= 128 dBSPL) IEC RTF 1600 Hz. Includes 10+ channels, feedback management, adaptive noise control, option to add telecoil, directional microphone, and minimum bandwidth of 8kHz. This support requires written assessment from a suitably qualified practitioner prior to supply."
05_220615211_0122_1_2,"This support code is typically built into the NDIS plan as a stated item. Otherwise, a report generated by an Allied Health Professional would be required to utilise this line item code.","An electronic instrument that provides amplification to individuals with a hearing loss and provides increased functions over and above what can be met with standard level devices. May include speech enhancement, sound management, ear to ear technology, and volume controls. This support requires written assessment from a suitably qualified practitioner prior to supply."
05_222100115_0124_1_2,"This support code is typically built into the NDIS plan as a stated item. Otherwise, a report generated by an Allied Health Professional would be required to utilise this line item code.",Includes switch and other interfaces
05_300000115_0112_1_2,"This support code is typically built into the NDIS plan as a stated item. Otherwise, a report generated by an Allied Health Professional would be required to utilise this line item code.","Equipment specifically designed, or modification/accessory to enable participation in recreation by a person with disability"
05_502206151_0122_1_2,"This support code is typically built into the NDIS plan as a stated item. Otherwise, a report generated by an Allied Health Professional would be required to utilise this line item code.",Repair and maintenance to hearing devices (and accessories including external components to implanted devices) where not covered under Australian Consumer Law warranty
05_711000080_0103_1_2,"This support code is typically built into the NDIS plan as a stated item. Otherwise, a report generated by an Allied Health Professional would be required to utilise this line item code.",Equipment delivery to participant via general satchel and post and does not require additional set up and/or training
05_711000080_0105_1_2,"This support code is typically built into the NDIS plan as a stated item. Otherwise, a report generated by an Allied Health Professional would be required to utilise this line item code.",Equipment delivery and removal from packaging ready for use
05_711000080_0112_1_2,"This support code is typically built into the NDIS plan as a stated item. Otherwise, a report generated by an Allied Health Professional would be required to utilise this line item code.","Equipment delivery, removal from wrapping, set up adjustment and training for the individual's disability specific needs"
05_711000080_0113_1_2,"This support code is typically built into the NDIS plan as a stated item. Otherwise, a report generated by an Allied Health Professional would be required to utilise this line item code.","Equipment delivery, removal from wrapping, fitting/adjusting for the individual and or training."
05_711000080_0123_1_2,"This support code is typically built into the NDIS plan as a stated item. Otherwise, a report generated by an Allied Health Professional would be required to utilise this line item code.",Equipment delivery and removal from packaging ready for use.
06_123615401_0111_2_2,New description coming soon,New description coming soon
06_180000111_0111_2_2,"This support code is typically built into the NDIS plan as a stated item. Otherwise, this support is subject to quotation to be submitted to the NDIS.",Temporary modifications/dwelling elements including portable bathroom
06_182100401_0111_2_2,New description coming soon,New description coming soon
06_182409401_0111_2_2,New description coming soon,New description coming soon
06_182409402_0111_2_2,New description coming soon,New description coming soon
06_182415401_0111_2_2,New description coming soon,New description coming soon
06_182495322_0111_2_2,New description coming soon,New description coming soon
06_182495401_0111_2_2,New description coming soon,New description coming soon
06_182495402_0111_2_2,New description coming soon,New description coming soon
06_182495405_0111_2_2,New description coming soon,New description coming soon
06_182495407_0111_2_2,New description coming soon,New description coming soon
06_183018404_0111_2_2,New description coming soon,New description coming soon
06_183018405_0111_2_2,New description coming soon,New description coming soon
06_183090401_0111_2_2,New description coming soon,New description coming soon
06_270303401_0111_2_2,New description coming soon,New description coming soon
07_001_0106_8_3,"This funding is to seek assistance form a Support Coordinator who will assist a participant to understand the aspects of the plan, assisting in ongoing management of supports, and answer questions as they arise.","This support item assists a participant to implement their plan by strengthening their ability to connect with the broader systems of supports and to understand the purpose of the funded supports. Support Connection assists a participant to understand their NDIS plan, connect participants with broader systems of supports, and provide assistance to connect with providers. Support Connection will assist participants to achieve effective utilisation of their NDIS plan and answer questions as they arise."
07_002_0106_8_3,"This funding is to seek assistance from a Support Coordinator with Further qualifications/experience required to strengthen a participant’s ability to design and the build their supports with an emphasis on 
linking the broader systems of support across a complex service delivery environment. Coordination of Supports is to focus on supporting participants to direct their lives, not just their services. This may include resolving points of crisis, and developing resilience in the participant's network.","This support item strengthens a participant’s ability to design and then build their supports with an emphasis on linking the broader systems of support across a complex service delivery environment. Coordination of Supports is to focus on supporting participants to direct their lives, not just their services, and is focussed on assisting participants to build and maintain a resilient network of formal and informal supports. This involves working together with the participant to understand the funding, identify what participants expect from services, and how participants want this designed. Coordination of Supports also includes coaching participants, and working with participants to develop capacity and resilience in their network"
07_004_0132_8_3,"This funding is to cover the service of a Support Coordinator to generally deliver services in a time limited, outcomes focused manner to meet the individual needs of the participant’s circumstances. These services are generally necessiary for specific high complex needs or high level risks in a participant’s situation, to reduce complexity in the participant’s support environment in the context of broader systems of support, whilst also assisting the participant to connect with NDIS supports, negotiate solutions with multiple stakeholders and build capacity and resilience.","This support is delivered utilising an expert or specialist approach, necessitated by specific high complex needs or high level risks in a participant’s situation. Specialist Support Coordination is delivered by an appropriately qualified and experienced practitioner to meet the individual needs of the participant’s circumstances such as a Psychologist, Occupational Therapist, Social Worker, or Mental Health Nurse. Specialist Support Coordination is expected to address complex barriers impacting a participant’s ability to implement their plan and access appropriate supports. Specialist Support Coordinators assist participants to reduce complexity in their support environment, and overcome barriers to connecting with broader systems of supports as well as funded supports."
08_005_0106_2_3,This funding is to assist participants to obtain and/or keep a rental property. This can include assisting to apply for a rental tenancy or to undertake tenancy obligations in line with the participant’s tenancy agreement.,"This support item is to guide, prompt, or undertake activities to ensure the participant obtains or retains appropriate accommodation. This may include assisting to apply for a rental tenancy or to undertake tenancy obligations in line with the participant’s tenancy agreement"
09_006_0106_6_3,"This funding is for individual skill building this can include assistance in attending appointments, shopping, bill paying, taking part in social activities and maintaining contact with others.","This support item, which includes mentoring, peer-support and individual skill development, is designed to establish volunteer assistance within the participant’s home or community to develop skills. For instance, assistance in attending appointments, shopping, bill paying, taking part in social activities and maintaining contact with others."
